Year,Month,Day,Hour,Actual,Predict
18,3,19,20,1340.28,1340.5397875848141
18,3,19,21,1345.32,1345.9949698537948
18,3,19,22,1256.04,1256.2335504086648
18,3,19,23,1202.04,1201.98846895434
18,3,20,0,1172.52,1172.2108552863854
18,3,20,1,1123.2,1123.1844605014246
18,3,20,2,1074.96,1075.14331765878
18,3,20,3,1020.24,1020.2415845100821
18,3,20,4,891.72,892.5869208332635
18,3,20,5,899.28,899.2859906695402
18,3,20,6,950.04,950.2585157373013
18,3,20,7,1074.24,1074.170555849412
18,3,20,8,1154.88,1155.1444069396664
18,3,20,9,1451.88,1451.7994517112738
18,3,20,10,1433.88,1434.0274436845866
18,3,20,11,1519.56,1519.068965509985
18,3,20,12,1506.96,1506.7649984510867
18,3,20,13,1522.8,1523.0981418747533
18,3,20,14,1476.0,1475.9315349085423
18,3,20,15,1518.84,1518.991952752271
18,3,20,16,1519.56,1519.0807740007676
18,3,20,17,1523.52,1524.006424811427
18,3,20,18,1556.64,1556.7485349187307
18,3,20,19,1491.12,1490.9053497188083
18,3,20,20,1427.76,1427.6667636798768
18,3,20,21,1365.84,1365.9814965610133
18,3,20,22,1351.44,1351.4812700470454
18,3,20,23,1190.52,1190.5238865611018
18,3,21,0,1192.68,1192.6811756455552
18,3,21,1,1125.0,1125.1316701417686
18,3,21,2,1092.96,1093.425279793782
18,3,21,3,1054.08,1054.121848359729
18,3,21,4,1005.12,1005.2701851147473
18,3,21,5,890.64,890.6578296774013
18,3,21,6,1009.8,1010.2487183461172
18,3,21,7,1116.36,1116.3747067464496
18,3,21,8,1245.96,1245.6363439466231
18,3,21,9,1528.92,1528.4410538096222
18,3,21,10,1529.64,1529.466686547404
18,3,21,11,1584.36,1587.5162401158898
18,3,21,12,1577.88,1579.074400393952
18,3,21,13,1531.08,1532.2932296271863
18,3,21,14,1567.8,1565.5433196614908
18,3,21,15,1564.56,1564.668903933521
18,3,21,16,1519.2,1518.877645575836
18,3,21,17,1541.88,1542.6860237213946
18,3,21,18,1438.56,1438.6636950935135
18,3,21,19,1436.04,1435.9341932363284
18,3,21,20,1371.24,1371.2404801017992
18,3,21,21,1370.16,1370.8016901897838
18,3,21,22,1404.72,1404.4858032004322
18,3,21,23,1291.68,1291.5000306745092
18,3,22,0,1278.0,1278.3950126158015
18,3,22,1,1220.04,1220.4137017004855
18,3,22,2,1135.08,1134.8425367023253
18,3,22,3,1086.48,1086.4741607482388
18,3,22,4,1062.36,1062.7527958210296
18,3,22,5,1049.04,1049.0304133030393
18,3,22,6,1104.48,1104.8153303105619
18,3,22,7,1174.68,1174.6013425900485
18,3,22,8,1245.96,1245.6345281469598
18,3,22,9,1488.96,1488.845600689412
18,3,22,10,1542.24,1542.7235109284575
18,3,22,11,1597.68,1597.15488578378
18,3,22,12,1569.96,1571.8001907759303
18,3,22,13,1513.08,1513.7991831769534
18,3,22,14,1491.84,1491.486923802284
18,3,22,15,1447.56,1447.6810565350136
18,3,22,16,1501.56,1500.616797520702
18,3,22,17,1400.4,1400.3932118382472
18,3,22,18,1431.36,1430.887658511439
18,3,22,19,1324.44,1324.282166358136
18,3,22,20,1436.4,1436.5403807839305
18,3,22,21,1383.12,1383.189221293321
18,3,22,22,1315.44,1315.207379346397
18,3,22,23,1163.16,1163.166204154853
18,3,23,0,1192.68,1192.6806379019165
18,3,23,1,1152.72,1152.7809572380627
18,3,23,2,1108.08,1107.9778995557754
18,3,23,3,1078.2,1078.2016309644066
18,3,23,4,1047.6,1047.6097771223567
18,3,23,5,1014.48,1014.2810588472174
18,3,23,6,969.48,969.0335213058745
18,3,23,7,1143.36,1143.3738240654307
18,3,23,8,1218.6,1218.6030580003332
18,3,23,9,1516.68,1516.6613313233331
18,3,23,10,1445.4,1445.4920563928142
18,3,23,11,1513.8,1514.059197395068
18,3,23,12,1535.04,1535.091844851069
18,3,23,13,1513.08,1513.7991831769534
18,3,23,14,1508.04,1507.9699736578996
18,3,23,15,1482.12,1481.9503553230631
18,3,23,16,1508.04,1507.9813430427055
18,3,23,17,1504.8,1504.8559817455593
18,3,23,18,1413.72,1413.8345215703227
18,3,23,19,1327.68,1327.7961867817314
18,3,23,20,1250.64,1250.5505284067694
18,3,23,21,1324.44,1324.2831627623652
18,3,23,22,1240.56,1240.5555298962174
18,3,23,23,1106.64,1106.7044698318127
18,3,24,0,1107.36,1107.2317151292955
18,3,24,1,1068.84,1068.6518396009012
18,3,24,2,1024.92,1024.9057555079908
18,3,24,3,1043.64,1043.8459876474046
18,3,24,4,918.0,917.9046329432184
18,3,24,5,958.32,958.3473283428827
18,3,24,6,938.88,939.0692618735635
18,3,24,7,1062.72,1062.7663548174944
18,3,24,8,1088.28,1088.2389664809368
18,3,24,9,1194.48,1194.4835238126109
18,3,24,10,1236.96,1236.7629936915714
18,3,24,11,1288.8,1289.1246350354368
18,3,24,12,1265.04,1265.4629570827633
18,3,24,13,1216.08,1216.0657248082498
18,3,24,14,1113.12,1112.9861862151602
18,3,24,15,1057.68,1057.9292011394157
18,3,24,16,1035.72,1035.8981926058357
18,3,24,17,1058.4,1058.5033370140638
18,3,24,18,1005.48,1005.4945611048403
18,3,24,19,1079.64,1079.7099994605921
18,3,24,20,1098.36,1098.4016197126705
18,3,24,21,1186.2,1186.2087542347858
18,3,24,22,1140.48,1140.4732372370022
18,3,24,23,1160.64,1160.4365719991183
18,3,25,0,1067.4,1067.2014891758133
18,3,25,1,1102.32,1102.6147119238774
18,3,25,2,1059.12,1058.6469340900292
18,3,25,3,957.96,958.0040106620226
18,3,25,4,999.72,999.6370077726868
18,3,25,5,849.6,849.6205554768555
18,3,25,6,884.88,884.3990308412658
18,3,25,7,921.6,921.5516031913523
18,3,25,8,927.72,927.8931763510026
18,3,25,9,975.24,975.2491652582268
18,3,25,10,905.76,905.764588312917
18,3,25,11,1005.12,1005.3028748106291
18,3,25,12,1008.0,1008.2695088831687
18,3,25,13,1033.2,1033.3041544724904
18,3,25,14,1042.2,1042.3802993955421
18,3,25,15,1053.0,1052.8668364833054
18,3,25,16,1010.88,1010.9466556207204
18,3,25,17,967.68,967.3315656481167
18,3,25,18,987.12,986.9888178742195
18,3,25,19,1048.68,1048.6484607745665
18,3,25,20,1097.64,1097.8990211734124
18,3,25,21,1154.16,1153.7863719813788
18,3,25,22,1153.08,1153.1818625280346
18,3,25,23,1055.88,1055.8767386957309
18,3,26,0,1140.48,1140.472855459286
18,3,26,1,1094.04,1094.0068406360006
18,3,26,2,1046.16,1046.2571266023542
18,3,26,3,946.44,946.5005211170154
18,3,26,4,918.0,917.88267240342
18,3,26,5,884.52,884.3965068016055
18,3,26,6,925.56,925.9050429120934
18,3,26,7,1084.68,1085.0590384808436
18,3,26,8,1213.56,1213.6872374174568
18,3,26,9,1433.16,1433.121349586105
18,3,26,10,1436.76,1436.5261234037434
18,3,26,11,1481.76,1481.8865074429473
18,3,26,12,1472.4,1472.0503133639743
18,3,26,13,1440.36,1440.3412251662864
18,3,26,14,1398.6,1398.767514879318
18,3,26,15,1413.0,1412.8575727161776
18,3,26,16,1391.4,1391.3317836556014
18,3,26,17,1380.24,1380.4165376459678
18,3,26,18,1343.88,1343.8647930882441
18,3,26,19,1273.68,1273.5865632110088
18,3,26,20,1303.56,1304.0020460417527
18,3,26,21,1326.6,1326.0440820647848
18,3,26,22,1271.88,1271.8820305397558
18,3,26,23,1189.8,1190.113579749778
18,3,27,0,1112.4,1112.4478716825192
18,3,27,1,1121.76,1121.715847177303
18,3,27,2,1059.48,1059.8446855849418
18,3,27,3,978.12,978.5331372874284
18,3,27,4,930.6,930.4132472947748
18,3,27,5,968.04,968.3290388533678
18,3,27,6,960.84,960.6576735661082
18,3,27,7,1118.52,1118.5739778447107
18,3,27,8,1189.44,1189.2508438585626
18,3,27,9,1414.8,1414.8393867084858
18,3,27,10,1436.4,1436.5490898125815
18,3,27,11,1477.8,1477.3997803048933
18,3,27,12,1467.0,1466.9068020865677
18,3,27,13,1440.36,1440.3217355773027
18,3,27,14,1438.56,1438.6516299703376
18,3,27,15,1327.68,1327.8010431977632
18,3,27,16,1366.2,1366.0637759803421
18,3,27,17,1333.8,1333.557374039304
18,3,27,18,1356.12,1356.0510536516003
18,3,27,19,1287.36,1287.0128445954288
18,3,27,20,1352.88,1352.8742365570033
18,3,27,21,1362.24,1362.2552585672274
18,3,27,22,1321.2,1321.1392163950677
18,3,27,23,1184.4,1184.2982997619697
18,3,28,0,1172.88,1173.3872656485398
18,3,28,1,1123.92,1123.9407061908869
18,3,28,2,1072.8,1073.0351339960537
18,3,28,3,997.2,997.2046624584658
18,3,28,4,927.72,927.8928657247031
18,3,28,5,930.96,931.0141267536991
18,3,28,6,974.16,974.5421752555367
18,3,28,7,1094.4,1094.4056875793028
18,3,28,8,1236.6,1236.5058625730549
18,3,28,9,1461.96,1462.0290972264263
18,3,28,10,1381.68,1381.3293057968403
18,3,28,11,1486.08,1486.2925113170122
18,3,28,12,1485.72,1486.276555658716
18,3,28,13,1418.76,1418.599437655893
18,3,28,14,1404.36,1404.4034463705214
18,3,28,15,1364.4,1364.4298973340499
18,3,28,16,1381.68,1381.3362986727793
18,3,28,17,1347.84,1347.839121538312
18,3,28,18,1330.2,1330.0509181482273
18,3,28,19,1284.12,1283.9136665669437
18,3,28,20,1331.28,1331.4728583100864
18,3,28,21,1292.4,1292.3966033299503
18,3,28,22,1312.2,1311.7510782081238
18,3,28,23,1204.56,1204.7518396846908
18,3,29,0,1122.48,1122.480938225422
18,3,29,1,1089.36,1089.4968313197344
18,3,29,2,1036.08,1036.0878706568121
18,3,29,3,953.28,953.7425417813744
18,3,29,4,912.6,912.7099254691137
18,3,29,5,877.68,877.695586937334
18,3,29,6,925.92,925.9322674084467
18,3,29,7,1050.12,1049.8529873427512
18,3,29,8,1113.12,1112.9919085465624
18,3,29,9,1363.68,1363.7506716584785
18,3,29,10,1443.24,1442.810058870875
18,3,29,11,1456.56,1456.4192291276631
18,3,29,12,1427.04,1426.9590875436697
18,3,29,13,1364.04,1364.0679874802945
18,3,29,14,1297.8,1297.7949203854762
