Year,Month,Day,Hour,Actual,Predict
18,1,10,1,1339.56,1339.2257
18,1,10,2,1315.44,1315.3411
18,1,10,3,1266.84,1265.9553
18,1,10,4,1171.8,1171.1371
18,1,10,5,1159.56,1159.4657
18,1,10,6,1151.28,1151.4718
18,1,10,7,1405.08,1405.1924
18,1,10,8,1472.76,1472.6655
18,1,10,9,1620.72,1621.9833
18,1,10,10,1630.08,1630.5858
18,1,10,11,1729.44,1729.2529
18,1,10,12,1676.16,1674.9879
18,1,10,13,1694.16,1694.4235
18,1,10,14,1701.72,1701.7971
18,1,10,15,1600.92,1601.5288
18,1,10,16,1641.96,1641.9408
18,1,10,17,1646.28,1646.566
18,1,10,18,1680.12,1680.417
18,1,10,19,1585.8,1585.3496
18,1,10,20,1540.44,1540.4336
18,1,10,21,1524.6,1523.7655
18,1,10,22,1481.04,1480.222
18,1,10,23,1450.08,1451.5
18,1,11,0,1386.72,1385.4391
18,1,11,1,1323.36,1322.3997
18,1,11,2,1272.96,1272.8817
18,1,11,3,1219.32,1218.2732
18,1,11,4,1175.4,1175.1302
18,1,11,5,1109.16,1108.3458
18,1,11,6,1239.84,1240.4532
18,1,11,7,1374.84,1375.6699
18,1,11,8,1486.44,1485.7853
18,1,11,9,1632.6,1631.8486
18,1,11,10,1736.28,1738.9489
18,1,11,11,1838.16,1839.0504
18,1,11,12,1798.92,1798.4917
18,1,11,13,1718.28,1717.6791
18,1,11,14,1721.52,1723.0393
18,1,11,15,1703.88,1704.3855
18,1,11,16,1770.12,1773.0118
18,1,11,17,1662.12,1662.4073
18,1,11,18,1705.32,1705.5282
18,1,11,19,1622.16,1622.221
18,1,11,20,1525.32,1523.0555
18,1,11,21,1590.84,1588.3262
18,1,11,22,1550.52,1549.5486
18,1,11,23,1441.44,1441.4163
18,1,12,0,1378.08,1377.6721
18,1,12,1,1323.72,1322.6764
18,1,12,2,1289.16,1288.9675
18,1,12,3,1256.4,1256.7675
18,1,12,4,1246.32,1246.7064
18,1,12,5,1236.6,1237.1407
18,1,12,6,1311.84,1311.1322
18,1,12,7,1386.72,1385.3174
18,1,12,8,1455.48,1455.8357
18,1,12,9,1621.44,1620.8701
18,1,12,10,1693.44,1693.3098
18,1,12,11,1786.32,1786.8578
18,1,12,12,1857.24,1857.4989
18,1,12,13,1872.0,1876.0659
18,1,12,14,1861.2,1862.3104
18,1,12,15,1881.0,1880.5568
18,1,12,16,1938.24,1939.7196
18,1,12,17,1850.76,1849.4011
18,1,12,18,1846.08,1846.1895
18,1,12,19,1768.68,1766.3892
18,1,12,20,1599.48,1599.4625
18,1,12,21,1524.6,1523.1794
18,1,12,22,1548.0,1547.3955
18,1,12,23,1389.24,1389.5876
18,1,13,0,1317.6,1316.985
18,1,13,1,1272.96,1272.7073
18,1,13,2,1255.68,1255.3215
18,1,13,3,1192.32,1192.3065
18,1,13,4,1117.44,1117.9706
18,1,13,5,1141.56,1141.8711
18,1,13,6,1146.24,1146.492
18,1,13,7,1239.12,1238.5432
18,1,13,8,1317.24,1316.809
18,1,13,9,1421.28,1420.3916
18,1,13,10,1365.48,1365.212
18,1,13,11,1558.08,1558.2878
18,1,13,12,1438.2,1435.9565
18,1,13,13,1484.64,1484.7131
18,1,13,14,1536.48,1537.8352
18,1,13,15,1567.44,1566.4613
18,1,13,16,1454.04,1453.0365
18,1,13,17,1550.52,1550.3619
18,1,13,18,1440.0,1439.9579
18,1,13,19,1529.28,1529.3292
18,1,13,20,1323.72,1322.5721
18,1,13,21,1330.92,1330.038
18,1,13,22,1292.4,1292.3306
18,1,13,23,1262.16,1262.4744
18,1,14,0,1336.68,1336.0627
18,1,14,1,1294.92,1295.2152
18,1,14,2,1262.88,1262.8109
18,1,14,3,1175.76,1175.2716
18,1,14,4,1191.24,1191.2402
18,1,14,5,1076.4,1076.819
18,1,14,6,1088.28,1088.7543
18,1,14,7,1182.96,1183.1333
18,1,14,8,1162.8,1162.4683
18,1,14,9,1180.44,1181.336
18,1,14,10,1207.8,1208.1807
18,1,14,11,1127.52,1127.337
18,1,14,12,1172.16,1172.2885
18,1,14,13,1317.6,1317.0197
18,1,14,14,1299.6,1299.835
18,1,14,15,1382.04,1382.4434
18,1,14,16,1335.24,1335.0873
18,1,14,17,1285.2,1284.1567
18,1,14,18,1310.4,1310.7441
18,1,14,19,1277.28,1277.366
18,1,14,20,1297.08,1297.3326
18,1,14,21,1195.92,1195.9517
18,1,14,22,1185.12,1185.3181
18,1,14,23,1216.44,1216.2545
18,1,15,0,1226.88,1226.8497
18,1,15,1,1186.92,1186.4246
18,1,15,2,1107.36,1107.7195
18,1,15,3,1046.88,1047.1238
18,1,15,4,947.16,946.86127
18,1,15,5,985.32,986.08624
18,1,15,6,1071.0,1070.8801
18,1,15,7,1201.68,1201.5225
18,1,15,8,1269.36,1270.0996
18,1,15,9,1156.32,1156.1836
18,1,15,10,1116.36,1116.668
18,1,15,11,1122.48,1122.0723
18,1,15,12,1113.48,1113.5028
18,1,15,13,1111.32,1111.0621
18,1,15,14,1035.0,1034.7727
18,1,15,15,1049.76,1049.6892
18,1,15,16,1064.16,1063.8075
