Year,Month,Day,Hour,Actual,Predict
18,3,15,10,1479.24,1479.085312500001
18,3,15,11,1499.76,1499.5715624999982
18,3,15,12,1492.92,1492.8987500000028
18,3,15,13,1445.4,1445.4534374999976
18,3,15,14,1510.2,1510.115625000002
18,3,15,15,1471.68,1471.7025000000008
18,3,15,16,1499.4,1499.3859374999968
18,3,15,17,1467.0,1467.0337499999998
18,3,15,18,1406.16,1405.9575000000004
18,3,15,19,1335.96,1335.9656250000005
18,3,15,20,1332.0,1332.0168749999998
18,3,15,21,1312.92,1312.8946875000017
18,3,15,22,1240.92,1240.920000000001
18,3,15,23,1179.0,1179.0084375000001
18,3,16,0,1163.16,1163.1487500000023
18,3,16,1,1122.84,1122.8456249999974
18,3,16,2,1054.08,1054.0828125000012
18,3,16,3,969.12,969.1179687499986
18,3,16,4,942.48,942.4687499999989
18,3,16,5,950.04,950.0456249999975
18,3,16,6,961.92,961.9284374999986
18,3,16,7,1055.88,1055.868750000002
18,3,16,8,1175.76,1175.7571874999992
18,3,16,9,1397.88,1397.950312500001
18,3,16,10,1433.52,1433.5368749999989
18,3,16,11,1452.6,1452.5493750000028
18,3,16,12,1454.76,1454.7346875
18,3,16,13,1384.56,1384.5318749999988
18,3,16,14,1472.76,1472.7853125000013
18,3,16,15,1413.72,1413.7734374999995
18,3,16,16,1402.56,1402.5543749999995
18,3,16,17,1371.96,1371.954375
18,3,16,18,1316.16,1316.1768750000015
18,3,16,19,1222.2,1222.171875
18,3,16,20,1371.24,1371.1950000000002
18,3,16,21,1354.68,1354.7503124999973
18,3,16,22,1355.04,1354.9584374999981
18,3,16,23,1183.68,1183.6884374999963
18,3,17,0,1092.96,1092.9853125000022
18,3,17,1,1058.76,1058.751562499998
18,3,17,2,1046.88,1046.8828125000018
18,3,17,3,943.92,943.9453124999985
18,3,17,4,875.52,875.5425000000009
18,3,17,5,961.56,961.5571874999985
18,3,17,6,935.28,935.2940624999991
18,3,17,7,1029.96,1029.9600000000028
18,3,17,8,1052.28,1052.2715624999992
18,3,17,9,1172.88,1172.8350000000016
18,3,17,10,1179.36,1179.3178124999995
18,3,17,11,1206.0,1205.98875
18,3,17,12,1185.84,1185.7556249999982
18,3,17,13,1200.6,1200.5971875000027
18,3,17,14,1101.24,1101.2343750000016
18,3,17,15,1059.48,1059.471562499999
18,3,17,16,1060.92,1060.9031249999991
18,3,17,17,1015.2,1015.132499999998
18,3,17,18,1065.24,1065.242812500002
18,3,17,19,1037.88,1037.8771875000018
18,3,17,20,1088.28,1088.2884374999992
18,3,17,21,1087.56,1087.5656249999984
18,3,17,22,1113.48,1113.4799999999996
18,3,17,23,959.4,959.4028124999978
18,3,18,0,1029.96,1029.9768750000028
18,3,18,1,1042.56,1042.5571874999985
