Year,Month,Day,Hour,Actual,Predict
18,7,13,8,1558.44,1554.771267774347
18,7,13,9,1907.28,1919.3279487666346
18,7,13,10,2004.84,1989.619919910854
18,7,13,11,2126.88,2059.9602002641836
18,7,13,12,2102.76,2067.7452029546143
18,7,13,13,2165.76,2044.5860239645856
18,7,13,14,2172.96,2061.5256251905475
18,7,13,15,2170.8,2045.038285869786
18,7,13,16,2199.24,2069.756287641527
18,7,13,17,2170.44,2070.630667579063
18,7,13,18,2028.24,2040.6611223637633
18,7,13,19,1803.24,1809.5689508227465
18,7,13,20,1737.36,1742.5738343551384
18,7,13,21,1718.28,1712.759135727627
18,7,13,22,1661.76,1658.2077463134108
18,7,13,23,1532.16,1530.4500579787345
18,7,14,0,1449.72,1450.3637875659917
18,7,14,1,1462.68,1460.585514732736
18,7,14,2,1397.16,1397.6297950991286
18,7,14,3,1338.12,1338.979935422976
18,7,14,4,1270.44,1270.8719170255015
18,7,14,5,1245.24,1245.7252840704784
18,7,14,6,1212.84,1212.2422755037805
18,7,14,7,1365.12,1365.0483680090986
18,7,14,8,1671.12,1670.3909500616426
18,7,14,9,1902.6,1920.974551743683
18,7,14,10,1919.52,1919.8381522008804
18,7,14,11,1994.04,1992.2405938527352
18,7,14,12,1982.16,2002.1078185578067
18,7,14,13,1927.8,1923.8828573847818
18,7,14,14,1840.32,1851.2174970463202
18,7,14,15,1848.96,1850.7310523651533
18,7,14,16,1843.92,1853.5692982592975
18,7,14,17,1841.04,1852.0590174714057
18,7,14,18,1793.88,1795.6248761050213
18,7,14,19,1789.56,1793.5113787887083
18,7,14,20,1718.64,1710.759324994325
18,7,14,21,1806.84,1811.7503179370988
18,7,14,22,1684.44,1683.5825801907156
18,7,14,23,1495.8,1496.8359432236948
18,7,15,0,1524.24,1522.6538958206024
18,7,15,1,1417.32,1418.1756047906968
18,7,15,2,1397.88,1397.7414764752186
18,7,15,3,1277.64,1277.3926474780064
18,7,15,4,1213.2,1212.236315637447
18,7,15,5,1178.64,1177.3412712780828
18,7,15,6,1152.72,1151.840773233221
18,7,15,7,1215.36,1215.7930010255457
18,7,15,8,1310.4,1308.9528400684649
18,7,15,9,1348.2,1349.9716345961847
18,7,15,10,1312.2,1312.454531423594
18,7,15,11,1407.96,1407.6627012763083
18,7,15,12,1440.0,1438.4028965766283
18,7,15,13,1512.36,1510.476245075336
18,7,15,14,1550.88,1554.497686328126
18,7,15,15,1581.84,1577.919452859042
18,7,15,16,1561.32,1563.613402576842
18,7,15,17,1595.88,1600.72658103263
18,7,15,18,1562.4,1562.8935372252274
18,7,15,19,1524.6,1522.8114980478715
18,7,15,20,1500.84,1502.527945373987
18,7,15,21,1585.44,1588.904473505803
18,7,15,22,1596.6,1599.4959153476866
18,7,15,23,1507.68,1509.150238280211
18,7,16,0,1456.92,1456.4351754941977
18,7,16,1,1442.16,1444.1221644979657
18,7,16,2,1339.2,1339.1096356046708
18,7,16,3,1269.72,1270.9506748563713
18,7,16,4,1209.24,1209.2606737686015
18,7,16,5,1186.56,1186.4460890907187
